,Unnamed: 0,temp,humidity,cloudcover,tempmax,tempmin,dew,solarradiation
112,112,33.6,67.6,44.9,75.3,20.2,23.2,165.1
113,113,35.7,61.8,39.2,71.9,19.3,23.1,153.8
114,114,31.5,77.8,83.2,59.1,19.5,25.2,111.9
115,115,31.7,72.9,58.9,64.7,13.9,23.7,154.1
116,116,25.7,58.5,8,53.7,11.9,12.7,170
117,117,28.1,52.2,20.2,71.3,11.2,12.1,167.8
118,118,27,54.8,31.3,57.3,11.6,12.5,162.5
119,119,27.3,55.4,3.5,68.1,10.8,12.8,166.9
120,120,30.5,50.8,5.4,71.3,12.5,13.6,166.7
121,121,27.4,50.6,2.9,62.7,12.6,10.7,167.6
122,122,28.7,48.8,4.8,71.3,12.8,10.7,166.5
123,123,27,50.3,3.3,69.5,11.2,9.8,165.7
124,124,27.1,47,25.8,68.3,10.8,8.6,167
125,125,25,46.2,60.9,62.7,11.6,6.4,146
126,126,20.5,52.2,62.1,58.7,7.1,5.2,122.8
127,127,25,55.1,5.9,64.7,6,9.6,161.2
128,128,29.7,52.5,46.2,66.3,13.2,13.4,136.8
129,129,30.4,52.2,68.1,57.8,16.1,14.3,114.5
130,130,26.9,53.2,17.7,64.5,12.6,10.7,162.2
